sent_tnx,received_tnx,avg_min_between_sent_tnx,avg_min_between_received_tnx,time_diff_between_first_and_last_mins,number_of_created_contracts,total_ether_sent,total_ether_balance,avg_val_sent,avg_val_received,max_value_received,erc20_total_received,erc20_total_sent,erc20_uniq_sent_addr,erc20_uniq_rec_addr,erc20_avg_time_sent,erc20_avg_time_rec,label
71,81,25.552503280915055,98.21578782095278,22333.345033235633,0,62.64799848319676,13.870469467888583,1.914453887102491,2.8228617930292184,9.58448280558034,9.962389162583033,6.245106560831439,10,11,41.10812437375497,56.0440514084638,1
117,68,53.220557094732165,65.25310874092689,8912.981678027747,3,127.51263566362448,13.41428647109493,0.9807747400840687,1.2391363540312132,13.533470758063679,49.9720676344941,37.91147010802741,19,13,47.374726652872816,60.118107208097676,1
87,51,74.30214308667641,71.62631716372627,17584.185390043218,2,76.13829843747054,7.459465412071715,0.6973485073663889,1.6069953413593436,7.437824945992418,30.754002663323316,59.2471663666158,14,10,113.28960642945754,59.80950856320084,1
10,14,99.57234637563323,156.79659643838642,15072.254889597134,0,3.858973149113952,48.467666309635206,0.5020430745326683,0.8519733484552163,1.986634463221626,4.709602524347335,5.295309061096092,2,4,238.46702067747825,194.47277817352207,0
7,7,87.55126254030722,381.2905312910211,16331.504964209536,0,5.036498266713986,33.84913250784571,0.47007773999429125,0.7231281370891052,4.538347552918455,8.955628481318387,7.273402112428686,3,1,160.0145116273497,232.42797662435555,0
7,23,163.1898287471572,345.9037347376219,5038.1485890361055,1,10.230531149339997,7.612329705218791,0.7139378454054714,1.4348695687198987,1.548357832315026,7.338831308025413,5.057905206942888,4,1,147.5300586720848,138.78291193845314,0
15,18,112.29808998048324,84.85660233178461,12884.09079489435,0,16.598639328683674,29.197052427462225,0.6913274484106966,1.3679024065592453,2.598075138347739,3.2679470585777737,0.08648866908157071,3,3,250.2451751008412,76.11362952503785,0
82,74,56.15413987540386,41.06015501669188,20871.72572853647,4,32.10215241630101,12.302100210536281,2.3471666928325816,0.5811086151179674,14.198199858359377,44.921890696359085,11.712225576878147,15,10,42.59933748646172,113.21473015164477,1
83,92,23.177848435732443,123.84609231165099,13281.556290726463,1,29.062914854483584,2.00253989933245,2.230028139866637,1.6448224860850698,6.850867642613797,51.04777297439245,21.435777686257225,12,24,108.75179231606978,91.96974449065758,1
51,57,109.58841811926595,125.27152630319577,11482.685802323516,0,79.07230690357017,4.972128100430075,0.7117208546882671,1.666732802211021,11.196245681637311,68.06815328021804,19.38051526899416,17,10,98.92463127830601,100.59859718238708,1
56,32,65.9124023286681,66.39430690191395,28516.207325224867,4,188.0748961402646,13.993462584871521,1.828930381716828,0.5816476519612397,11.085135260974141,35.58110787520492,15.479222778382965,6,19,112.09120190607652,102.9348560238596,1
11,14,87.926036439479,276.09466737168333,18954.19668964063,1,14.173367920959427,33.11532307434065,0.3083320863216894,1.0857589172137534,4.76073276500833,0.4678584497176852,2.5572164423365003,1,1,274.8150897311724,290.5653616522892,0
7,6,159.16140412985268,296.2633360333035,14188.71701305875,1,5.122168671413711,15.824256604353975,0.6006952065313714,0.2379017418287157,4.628995777425623,1.5628370954977622,1.7607094149710925,4,5,227.52869158431983,73.93226368609933,0
